"","day121","day131","day141","day201","day211","day221","day231","day241","day121anom","day131anom","day141anom","day201anom","day211anom","day221anom","day231anom","day241anom"
"1958",40.7862974310334,38.9656575557923,40.5064886494203,45.0670747516135,43.9519350917051,42.2733285891076,37.8988758551671,42.0270437844528,1.34004485992452,-1.28801529640973,0.179365314359728,0.779625501713248,-1.04096669521004,-1.85622676768254,-5.35465584787435,-1.24464002480468
"1959",42.2974462806575,40.8204975952569,38.669531118725,47.6144614180031,45.5578390058732,39.7642525615335,41.9106486731799,42.2107731535334,2.85119370954867,0.566824743054859,-1.65759221633556,3.32701216810283,0.564937218958093,-4.36530279525665,-1.34288302986153,-1.06091065572414
"1960",40.2244008313884,38.3810457142287,40.6913085705385,42.994338121684,45.5249880109543,43.8524480899872,40.335537628928,40.9781455053978,0.778148260279593,-1.87262713797334,0.364185235477969,-1.29311112821629,0.532086224039197,-0.277107266802901,-2.91799407411349,-2.2935383038597
"1961",38.3764802487631,40.1436632312819,41.0419330282458,43.0330663269489,45.6991878745018,43.3665832772965,44.49686104808,44.6745928959841,-1.06977232234575,-0.11000962092016,0.714809693185217,-1.25438292295141,0.706286087586612,-0.762972079493615,1.24332934503852,1.40290908672664
"1962",39.6402979345165,39.2976558504387,41.5502389278449,40.4845089295739,47.5912337913157,47.4116467938579,45.4150053107793,41.9296785333785,0.194045363407696,-0.956017001763314,1.22311559278438,-3.80294032032642,2.59833200440055,3.28209143706781,2.16147360773781,-1.34200527587902
"1963",42.6727700623577,46.7355655806751,44.9961584718418,44.6055015456538,48.1773788514566,41.7836377215967,43.0210999546371,43.6469315935667,3.2265174912489,6.48189272847305,4.66903513678131,0.31805229575351,3.18447706454148,-2.34591763519341,-0.232431748404359,0.375247784309167
"1964",41.6354356296214,42.2759796340974,42.0903733690839,44.4551935486454,48.5124828715329,44.4152538613907,40.5647499631122,41.2231341703032,2.18918305851254,2.02230678189542,1.76325003402335,0.167744298745092,3.51958108461778,0.28569850460056,-2.68878173992928,-2.04854963895426
"1965",39.3169298762326,40.0798260410465,42.4374983919831,42.1895833950143,40.268472020025,42.6211716366264,48.3425673402275,44.6726283686332,-0.129322694876222,-0.173846811155542,2.11037505692259,-2.09786585488595,-4.72442976689014,-1.50838372016372,5.08903563718601,1.40094455937574
"1966",38.6412948214874,43.1189555641817,40.9373706233899,43.4636142658706,45.0347575701171,45.4771992927097,49.0898217923714,46.285768434512,-0.804957749621437,2.86528271197969,0.610247288329361,-0.823834984029652,0.0418557832019673,1.34764393591959,5.83629008932999,3.01408462525454
"1967",40.4122456850213,44.2982828708306,41.936853035019,44.2984325485803,46.8559643181595,45.1335560730409,46.1251569908042,48.6002193507752,0.965993113912511,4.04461001862852,1.60972969995846,0.0109832986799745,1.86306253124439,1.00400071625076,2.87162528776271,5.32853554151769
"1968",41.1940003111171,41.6053570757356,36.8770026372267,45.5691448744556,44.3072001206337,41.1444730841463,41.9238659222867,42.433377624575,1.74774774000823,1.35168422353352,-3.45012069783381,1.28169562455528,-0.685701666281474,-2.98508227264383,-1.32966578075472,-0.838306184682509
"1969",39.173395732023,42.8280398761744,39.7041491441559,42.382859483124,44.8100620982991,44.6864356086576,40.0769255548686,40.7606984183367,-0.272856839085804,2.57436702397236,-0.622974190904628,-1.90458976677628,-0.182839688616049,0.556880251867497,-3.17660614817282,-2.51098539092077
"1970",40.6023353060544,39.8017033498821,41.5186550713671,47.0266481175753,44.9534625302981,45.7282469831967,47.0671583773321,45.2751139296751,1.15608273494557,-0.451969502319962,1.19153173630657,2.739198867675,-0.0394392566170438,1.59869162640656,3.81362667429067,2.00343012041764
"1971",39.5253402912519,40.5180110991224,39.4580104397197,44.0999942275377,44.404170296874,46.2251187932434,42.0478026283351,42.9372794028847,0.079087720143022,0.264338246920367,-0.869112895340834,-0.18745502236257,-0.588731490041134,2.09556343645323,-1.20572907470632,-0.334404406372819
"1972",40.4713590264023,40.8870459437885,43.2158336680168,43.4305857430088,46.843724987655,47.1034054610579,46.6053731120264,42.1669815332588,1.02510645529349,0.633373091586442,2.8887103329563,-0.856863506891493,1.85082320073987,2.97385010426778,3.35184140898498,-1.10470227599868
"1973",39.7738961099401,40.9046314842335,40.1701002337044,41.4982835115222,44.15243743474,46.7158985433802,44.2921794272271,41.8712538450443,0.327643538831254,0.650958632031461,-0.157023101356117,-2.7891657383781,-0.840464352175132,2.5863431865901,1.03864772418567,-1.4004299642132
"1974",40.5036692591693,43.9051062431396,40.6014362796703,48.5601652620343,44.0620294478568,48.1433264949358,43.4649703558331,42.7623022549894,1.05741668806046,3.65143339093757,0.27431294460974,4.272716012134,-0.930872339058354,4.01377113814566,0.211438652791614,-0.509381554268138
"1975",38.3281018263277,39.1288284797324,40.2792927226587,43.7494414527847,47.0858707778345,48.5471406464365,48.9424413827823,46.9898160968103,-1.11815074478114,-1.12484437246961,-0.047830612401853,-0.538007797115625,2.0929689909194,4.41758528964636,5.68890967974085,3.7181322875528
"1976",37.9566188170188,40.8258353498902,43.4174141907265,43.4933410272735,45.2587812501717,43.5786609548014,43.7313844284677,43.4546193731726,-1.48963375409003,0.572162497688183,3.09029085566599,-0.794108222626811,0.265879463256518,-0.550894401988771,0.47785272542626,0.182935563915095
"1977",39.5343039909121,41.6695174841688,38.6826178883529,48.3209666046068,45.4174046902474,41.6618140660264,41.7865729327571,47.4489823990172,0.0880514198032785,1.41584463196676,-1.64450544670763,4.03351735470653,0.424502903332254,-2.46774129076373,-1.46695877028434,4.17729858975967
