"","day121_150anoms","day201_230anoms","day231_260anoms"
"1958",0.0771316259581738,-0.705855987059778,-1.83852048325616
"1959",0.586808745422658,-0.157784469398578,-1.580581023705
"1960",-0.243431214071926,-0.346044056993328,-2.54065994182109
"1961",-0.154990750026897,-0.43702297161947,0.593300388174697
"1962",0.153714651476257,0.692494373713977,0.445371830769069
"1963",4.79248178550109,0.385537241700526,0.633989215551907
"1964",1.99157995814377,1.32434129598781,-1.26530387449065
"1965",0.602401850296943,-2.77689311397993,1.53196556731396
"1966",0.890190750229202,0.188554911697302,2.84467382401841
"1967",2.20677761083316,0.959348848725043,2.16299009815015
"1968",-0.116896244764021,-0.796362771456671,-0.0674099421104515
"1969",0.559511997993972,-0.510183067841609,-1.7101853683172
"1970",0.631881656310725,1.43281707915484,1.78459444857312
"1971",-0.175228976092484,0.439792308016514,-0.946825425556732
"1972",1.51572995994541,1.32260326603872,1.07359077492591
"1973",0.273859689835533,-0.347762301321048,-1.60191663328607
"1974",1.66105434120259,2.45187160374044,-0.489228060118513
"1975",-0.763608576550865,1.99084882781671,3.2377822689771
"1976",0.724273199754712,-0.359707720453024,-0.393979830244547
"1977",-0.0468697983125281,0.663426322425018,1.92584948511693
"1978",0.460012517346108,-0.337279630973015,3.06792603417048
"1979",-0.661584630112813,1.00627535063101,-0.514357612895139
"1980",0.384713909127228,-2.58829791711711,-1.59673646629496
"1981",-1.533207843571,0.983743073575077,-0.513460859367427
"1982",-0.15389608846003,0.0715408565808318,1.0540346049059
"1983",-1.08947052623726,0.678963122859884,-2.35935221983701
"1984",-1.31906001776625,-0.460560800545451,-2.8784651746944
"1985",1.3229353437826,-0.833939116405496,0.772347206072951
"1986",0.0558974972336159,-0.477546888109529,-2.83291562657012
"1987",-0.482727715964032,-2.73736692049277,-1.16787389323047
"1988",0.462034096362146,2.5462380112121,-3.50996764721768
"1989",-0.687110850851155,2.40218560229636,-0.660619174956949
"1990",-1.79589503332045,0.37393446745282,0.561095525691947
"1991",-0.286639587514266,-0.105113744090978,0.798770091952029
"1992",-3.74866305016004,-1.88650243559289,-0.672987024132837
"1993",-0.163659703610989,-4.17578307181556,-1.11838954912059
"1994",0.181219274768942,0.759290250992784,3.0141825833452
"1995",-0.91279995816685,-0.0944431548491664,0.548938410192996
"1996",-1.9973829221346,1.38937594748682,1.81981411633598
"1997",-0.729754046797176,0.230795575290387,2.81384117667314
"1998",0.818036202787113,-4.87049125847602,-0.0267881010958462
"1999",-1.06646517665124,4.63776564177203,0.844215935772645
"2000",-0.400456635165952,-0.975657449929223,-0.727721182533259
"2001",-1.82244731800915,-0.951145130646246,-0.515028471831485
